measure,location,sex,age,cause,metric,year,val,upper,lower
2,1,3,22,571,1,1990,22996731.908214483,31547275.959588103,15814115.758944247
2,1,3,22,571,2,1990,0.008869601448276958,0.011768236153162966,0.006349418035966435
2,1,3,22,571,3,1990,431.1652712049937,591.4792523208868,296.4985432402584
2,1,3,22,571,1,1991,23353711.068475086,32064854.28629507,16092461.58427386
2,1,3,22,571,2,1991,0.008959368833514211,0.011887707024255845,0.006421247471716492
2,1,3,22,571,3,1991,431.1575928583379,591.9832333669051,297.09997608075463
2,1,3,22,571,1,1992,23709062.994737055,32524131.50496082,16342920.365203014
2,1,3,22,571,2,1992,0.009098671139617926,0.012062530622915851,0.006528816072860984
2,1,3,22,571,3,1992,431.29283949193103,591.6482246429279,297.29494292809284
2,1,3,22,571,1,1993,24063455.112461604,33032738.15729814,16576730.135870486
2,1,3,22,571,2,1993,0.009176350186585164,0.012176464735907487,0.006571536153538766
2,1,3,22,571,3,1993,431.59523362208154,592.4657234610111,297.31548035162217
2,1,3,22,571,1,1994,24414041.547163423,33468502.362801805,16798027.026432212
2,1,3,22,571,2,1994,0.009140695457414636,0.012096882713729695,0.006573537515424015
2,1,3,22,571,3,1994,432.0718199482044,592.3147422724315,297.28605543775507
2,1,3,22,571,1,1995,24773084.96284799,33948646.91168451,17054368.800755337
2,1,3,22,571,2,1995,0.009356701196210186,0.01240247678187099,0.006726243185913733
2,1,3,22,571,3,1995,432.78860846886573,593.0867180386747,297.94176028794374
2,1,3,22,571,1,1996,25225160.848067448,34611773.5138156,17360237.36123624
2,1,3,22,571,2,1996,0.009544693613254045,0.012568776324278701,0.006892608662461207
2,1,3,22,571,3,1996,435.0370033858828,596.9199689949571,299.39732337835505
2,1,3,22,571,1,1997,25809774.108517673,35459839.09462628,17782855.819501393
2,1,3,22,571,2,1997,0.009785586575442718,0.012837286486074712,0.007042940301047754
2,1,3,22,571,3,1997,439.45919468506054,603.7694195488349,302.78604782750034
2,1,3,22,571,1,1998,26453655.85338316,36331545.267060995,18238326.891206563
2,1,3,22,571,2,1998,0.010004289480201557,0.013205706749155936,0.007206639107354567
2,1,3,22,571,3,1998,444.75756417409855,610.8316243780157,306.6356456628125
2,1,3,22,571,1,1999,27082547.145522572,37203391.563557774,18704807.72456418
2,1,3,22,571,2,1999,0.010205863405215109,0.013485765803898488,0.007351023982874195
2,1,3,22,571,3,1999,449.66078381412933,617.7006217740137,310.5623137043304
2,1,3,22,571,1,2000,27610167.57840027,37905317.92271131,19076494.73856709
2,1,3,22,571,2,2000,0.010390513119654813,0.013696625162679563,0.0075127000692460765
2,1,3,22,571,3,2000,452.7163860487517,621.5231578465166,312.79208038122687
2,1,3,22,571,1,2001,28017445.553312205,38450047.523542926,19347308.374789767
2,1,3,22,571,2,2001,0.010543846607001448,0.013897206978042406,0.007598229128266747
2,1,3,22,571,3,2001,453.6354458188177,622.5515604878225,313.2557121701744
2,1,3,22,571,1,2002,28356228.487376586,38917408.73211801,19599289.26746973
2,1,3,22,571,2,2002,0.010659204064390604,0.014025296179224076,0.00768026003599888
2,1,3,22,571,3,2002,453.3095195856986,622.1430986046059,313.31897350217037
2,1,3,22,571,1,2003,28658372.461805627,39349394.86700526,19797563.566310443
2,1,3,22,571,2,2003,0.010762528337000954,0.014172285627285154,0.007793225670559303
2,1,3,22,571,3,2003,452.3016595932517,621.033055036766,312.4556661017357
2,1,3,22,571,1,2004,28966762.146791093,39744828.31361135,20031637.62765025
2,1,3,22,571,2,2004,0.010824315848774508,0.01427674328504898,0.007827414916320549
2,1,3,22,571,3,2004,451.3101291545368,619.2353673683863,312.09842919614056
2,1,3,22,571,1,2005,29318747.045114897,40225799.46963616,20258907.34053291
2,1,3,22,571,2,2005,0.010996459056255469,0.01442194103915685,0.007978896630246745
2,1,3,22,571,3,2005,450.89477948265744,618.6349966956482,311.56295812413293
2,1,3,22,571,1,2006,29765550.935534205,40790525.59008342,20584690.840304933
2,1,3,22,571,2,2006,0.011263683842457352,0.014940943256372735,0.00816529113669101
2,1,3,22,571,3,2006,451.76532478223015,619.0963869996042,312.4232292273969
2,1,3,22,571,1,2007,30280769.718166817,41495952.47803959,20955102.67536925
2,1,3,22,571,2,2007,0.011504828169169553,0.015152219445194914,0.00835280509119907
2,1,3,22,571,3,2007,453.482455478545,621.4401614392526,313.8219901434782
2,1,3,22,571,1,2009,31355192.561157964,42884889.38444418,21685084.71912629
2,1,3,22,571,2,2009,0.011950216237876742,0.01576572777536714,0.008686320273746564
2,1,3,22,571,3,2009,457.00202864071,625.0473955309583,316.06017690871425
2,1,3,22,571,1,2008,30829075.532368477,42166157.47955696,21313876.235402852
2,1,3,22,571,2,2008,0.011663183573260363,0.015388328959089037,0.008461996277498086
2,1,3,22,571,3,2008,455.4760137122726,622.9727291753485,314.8962210775774
2,1,3,22,571,1,2010,31789368.79551016,43459734.544081435,21992058.805183
2,1,3,22,571,2,2010,0.01205743281775273,0.015893771373869915,0.008770802815854321
2,1,3,22,571,3,2010,457.35124149389463,625.2519097371329,316.39808460046436
2,1,3,22,571,1,2011,32097661.13695955,43860633.20468901,22158651.41606991
2,1,3,22,571,2,2011,0.012225646335859087,0.016068608441686262,0.008869782858820511
2,1,3,22,571,3,2011,456.07233346559855,623.2111818860105,314.84997659661497
2,1,3,22,571,1,2012,32317021.040029988,44122019.24125883,22294214.14080946
2,1,3,22,571,2,2012,0.012374984156851832,0.016283337624572118,0.009001269481153117
2,1,3,22,571,3,2012,453.48747047319887,619.1406959541243,312.8427822719302
